stationid,lanenumber,locationtext,detectorid
1045,1,Sunnyside NB,1345
1045,2,Sunnyside NB,1346
1045,3,Sunnyside NB,1347
1045,4,Sunnyside NB,1348
1046,1,Johnson Cr NB,1353
1046,2,Johnson Cr NB,1354
1046,3,Johnson Cr NB,1355
1047,1,Foster NB,1361
1047,2,Foster NB,1362
1047,3,Foster NB,1363
1117,1,Powell to I-205 NB,1809
1117,2,Powell to I-205 NB,1810
1117,3,Powell to I-205 NB,1811
1048,1,Division NB,1369
1048,2,Division NB,1370
1048,3,Division NB,1371
1142,1,I-205 NB at Glisan,1949
1142,2,I-205 NB at Glisan,1950
1142,3,I-205 NB at Glisan,1951
1140,1,I-205 NB at Columbia,1941
1140,2,I-205 NB at Columbia,1942
1140,3,I-205 NB at Columbia,1943
1125,1,Sunnyside SB,1856
1125,2,Sunnyside SB,1857
1125,3,Sunnyside SB,1858
1098,1,Johnson Creek SB,1730
1098,2,Johnson Creek SB,1731
1098,3,Johnson Creek SB,1732
1054,1,Foster SB,1417
1054,2,Foster SB,1418
1054,3,Foster SB,1419
1053,1,Powell Blvd SB,1409
1053,2,Powell Blvd SB,1410
1053,3,Powell Blvd SB,1411
1052,1,Division SB,1401
1052,2,Division SB,1402
1052,3,Division SB,1403
1051,1,Stark/Washington SB,1393
1051,2,Stark/Washington SB,1394
1051,3,Stark/Washington SB,1395
1143,1,I-205 SB at Glisan,1953
1143,2,I-205 SB at Glisan,1954
1143,3,I-205 SB at Glisan,1955
1141,1,I-205 SB at Columbia,1945
1141,2,I-205 SB at Columbia,1946
1141,3,I-205 SB at Columbia,1947
1050,1,Airportway EB to SB,1385
1050,2,Airportway EB to SB,1386
1050,3,Airportway EB to SB,1387
1049,1,Airportway WB to SB,1377
1049,2,Airportway WB to SB,1378
1049,3,Airportway WB to SB,1379
